INFO:__main__:Connecting to Asterisk ARI: ws://localhost:8088/ari/events?app=openai-voice-assistant&api_key=asteWARNING:__main__:WebSocket connection closed
INFO:__main__:Disconnected from Asterisk ARI
📞 SIMPLE CALL TRACKER
==============================
This tracker directly monitors Asterisk ARI events
and provides accurate call counting.

✅ Call tracker is running!
📞 Make a call to 1000 to test...
Press Ctrl+C to stop

⏰ [15:56:40] No active calls
⏰ [15:56:50] No active calls
⏰ [15:57:00] No active calls
⏰ [15:57:10] No active calls
⏰ [15:57:20] No active calls
⏰ [15:57:30] No active calls
⏰ [15:57:40] No active calls
⏰ [15:57:50] No active calls
⏰ [15:58:00] No active calls
⏰ [15:58:10] No active calls
⏰ [15:58:20] No active calls
⏰ [15:58:30] No active calls
⏰ [15:58:40] No active calls
⏰ [15:58:50] No active calls
⏰ [15:59:00] No active calls
⏰ [15:59:10] No active calls
⏰ [15:59:20] No active calls
⏰ [15:59:30] No active calls
⏰ [15:59:40] No active calls
⏰ [15:59:50] No active calls
⏰ [16:00:00] No active calls
⏰ [16:00:10] No active calls
⏰ [16:00:20] No active calls
⏰ [16:00:30] No active calls
⏰ [16:00:40] No active calls
⏰ [16:00:50] No active calls
⏰ [16:01:00] No active calls
⏰ [16:01:10] No active calls
⏰ [16:01:20] No active calls
⏰ [16:01:30] No active calls
⏰ [16:01:40] No active calls
⏰ [16:01:50] No active calls
⏰ [16:02:00] No active calls
⏰ [16:02:10] No active calls
⏰ [16:02:20] No active calls
⏰ [16:02:30] No active calls
⏰ [16:02:40] No active calls
⏰ [16:02:50] No active calls
⏰ [16:03:00] No active calls
⏰ [16:03:10] No active calls
⏰ [16:03:20] No active calls
⏰ [16:03:30] No active calls
⏰ [16:03:40] No active calls
⏰ [16:03:50] No active calls
⏰ [16:04:00] No active calls
⏰ [16:04:10] No active calls
⏰ [16:04:20] No active calls
⏰ [16:04:30] No active calls
⏰ [16:04:40] No active calls
⏰ [16:04:50] No active calls
⏰ [16:05:00] No active calls
⏰ [16:05:10] No active calls
⏰ [16:05:20] No active calls
⏰ [16:05:30] No active calls
⏰ [16:05:40] No active calls
⏰ [16:05:50] No active calls
⏰ [16:06:00] No active calls
⏰ [16:06:10] No active calls
⏰ [16:06:20] No active calls
⏰ [16:06:30] No active calls
⏰ [16:06:40] No active calls
⏰ [16:06:50] No active calls
⏰ [16:07:00] No active calls
⏰ [16:07:10] No active calls
⏰ [16:07:20] No active calls
⏰ [16:07:30] No active calls
⏰ [16:07:40] No active calls
⏰ [16:07:50] No active calls
⏰ [16:08:00] No active calls
⏰ [16:08:10] No active calls
⏰ [16:24:23] No active calls
⏰ [16:24:33] No active calls
⏰ [16:24:43] No active calls
⏰ [16:24:53] No active calls
⏰ [16:34:47] No active calls
⏰ [16:34:57] No active calls
⏰ [16:35:07] No active calls
⏰ [16:35:17] No active calls
⏰ [16:35:27] No active calls

📊 FINAL SUMMARY:
   Total calls processed: 0
   Active calls at end: 0
